===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2017-07-13 20:13:59
count workspace : c:\Users\kowal\Documents\Git\kowax-experiment-legacy
total files : 538
total code lines : 68236
total comment lines : 11524
total blank lines : 2128

.classpath, code is 21, comment is 0, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\HivemindControl.HostRole.html, code is 176, comment is 37, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\HivemindControl.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\Kalculator.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\Kalendar.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\KAuthenticator.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\KowaxExplorer.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\KowaxExplorer.UserExplorer.html, code is 163, comment is 38, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\KowaxUpdater.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\KWindowManager.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\Man.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\No.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\ServiceManager.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\class-use\Yes.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\CronTab.Cron.html, code is 279, comment is 56, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\CronTab.CronTabJob.html, code is 280, comment is 53, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\CronTab.html, code is 497, comment is 65, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\CronTab.Job.html, code is 289, comment is 53, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\DenialService.DosProtcol.html, code is 328, comment is 55, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\DenialService.Flooder.FlooderInstance.html, code is 344, comment is 62, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\DenialService.Flooder.html, code is 318, comment is 58, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\DenialService.Flooder.TcpFlooder.html, code is 259, comment is 55, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\DenialService.Flooder.UdpFlooder.html, code is 259, comment is 55, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\DenialService.html, code is 469, comment is 63, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\Echo.html, code is 347, comment is 55, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\Escalator.html, code is 294, comment is 55, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\Fortune.html, code is 468, comment is 61, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\HivemindControl.HivemindHost.html, code is 280, comment is 53, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\HivemindControl.HivemindManager.html, code is 372, comment is 61, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\HivemindControl.HivemindService.html, code is 273, comment is 56, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\HivemindControl.HostRole.html, code is 317, comment is 54, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\HivemindControl.html, code is 445, comment is 61, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\Kalculator.html, code is 424, comment is 59, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\Kalendar.html, code is 424, comment is 59, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\KAuthenticator.html, code is 412, comment is 58, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\KowaxExplorer.html, code is 550, comment is 71, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\KowaxExplorer.UserExplorer.html, code is 197, comment is 46, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\KowaxUpdater.html, code is 484, comment is 62, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\KWindowManager.html, code is 476, comment is 62, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\Man.html, code is 347, comment is 55, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\No.html, code is 347, comment is 55, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\package-frame.html, code is 41, comment is 2, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\package-summary.html, code is 195, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\plugins\package-tree.html, code is 158, comment is 36, blank is 0.
